|||Sütunlar||||
Satırlar|||||||
|||||||
|||Alçak Tünel - Dekar|Cam Sera - Dekar|Plastik Sera - Dekar|Yüksek Tünel - Dekar|
||2019|0.0|0.0|19.0|66.0|
||2020|0.0|0.0|19.0|64.0|
||2021|0.0|0.0|19.0|68.0|
|Elazığ-23|2004|73.0|0.0|33.0|45.0|
||2005|76.0|0.0|14.0|41.0|
||2006|71.0|0.0|31.0|58.0|
||2007|69.0|0.0|5.0|47.0|
||2008|69.0|0.0|5.0|47.0|
||2009|14.0|0.0|0.0|50.0|
||2010|6.0|0.0|57.0|24.0|
||2011|10.7|1.2|57.8|25.0|
||2012|9.7|1.2|57.8|25.0|
||2013|8.0|0.0|229.0|50.0|
||2014|7.0|0.0|279.0|70.0|
||2015|6.0|0.0|279.0|80.0|
||2016|1.0|0.0|293.0|85.0|
||2017|7.0|0.0|673.0|90.0|
||2018|8.0|0.0|1016.0|90.0|
||2019|8.0|0.0|1347.5|90.0|
||2020|8.0|0.0|1371.0|98.0|
||2021|11.0|0.0|1398.0|102.0|
|Erzincan-24|2004|0.0|0.0|0.0|38.0|
||2005|0.0|0.0|0.0|34.0|
||2006|0.0|0.0|0.0|35.0|
||2007|0.0|0.0|10.0|32.0|
||2008|0.0|0.0|0.0|36.0|
||2009|0.0|0.0|0.0|48.0|
||2010|0.0|0.0|0.0|62.0|
||2011|0.0|0.0|0.0|69.0|
||2012|0.0|0.0|36.0|34.0|
||2013|0.0|0.0|36.0|34.0|
||2014|0.0|0.0|39.0|33.0|
||2015|0.0|0.0|38.0|31.0|
||2016|0.0|0.0|75.0|11.0|
||2017|0.0|0.0|99.0|33.0|
||2018|0.0|0.0|110.0|23.0|
||2019|0.0|0.0|218.0|24.0|
||2020|0.0|0.0|275.0|26.0|
||2021|0.0|0.0|425.0|47.0|
|Erzurum-25|2004|0.0|0.0|116.0|0.0|
||2005|0.0|0.0|111.0|0.0|
||2006|0.0|0.0|193.0|0.0|
||2007|0.0|0.0|107.0|6.0|
||2008|0.0|0.0|107.0|6.0|
||2009|0.0|3.0|105.0|6.0|
||2010|0.0|3.0|113.0|0.0|
||2011|0.0|3.5|112.0|0.0|
||2012|0.0|3.5|117.0|0.0|
||2013|0.0|3.5|122.5|0.0|
||2014|5.0|3.5|116.5|0.0|
||2015|5.0|3.0|109.9|0.0|
||2016|5.0|3.0|151.9|0.0|
||2017|5.0|3.0|161.9|0.0|
||2018|5.0|3.0|168.9|0.0|
||2019|5.0|3.0|183.9|0.0|
||2020|6.0|3.0|216.9|0.0|
||2021|6.0|3.0|222.9|0.0|
|Eskişehir-26|2004|166.0|0.0|273.0|40.0|
||2005|200.0|0.0|69.0|10.0|
||2006|0.0|0.0|175.0|235.0|
||2007|0.0|0.0|268.0|230.0|
||2008|0.0|0.0|268.0|230.0|
||2009|4.0|0.0|359.0|254.0|
||2010|0.0|0.0|663.0|365.0|
||2011|0.0|2.7|1137.0|400.8|
||2012|0.0|2.8|1741.3|500.3|
||2013|0.0|2.8|2096.3|554.3|
||2014|0.0|2.8|2595.3|593.3|
||2015|0.0|2.8|2315.3|607.3|
||2016|0.0|2.8|2548.3|553.3|
||2017|0.0|3.0|2591.6|610.0|
||2018|0.0|3.0|3251.6|580.0|
||2019|50.0|1.6|3360.5|470.0|
||2020|0.2|1.5|3670.5|690.0|
||2021|0.0|2.3|4210.9|453.3|
|Gaziantep-27|2004|0.0|0.0|4.0|0.0|
||2005|0.0|0.0|4.0|0.0|
||2006|0.0|0.0|22.0|0.0|
||2007|0.0|0.0|7.0|0.0|
||2008|0.0|0.0|7.0|0.0|
||2009|0.0|0.0|0.0|0.0|
||2010|0.0|0.0|0.0|0.0|
||2011|0.0|0.0|0.0|0.0|
||2012|0.0|0.0|0.0|0.0|
||2013|0.0|0.0|0.0|0.0|
||2014|0.0|0.0|0.0|0.0|
||2015|0.0|0.0|0.0|0.0|
||2016|0.0|0.0|0.0|0.0|
||2017|0.0|0.0|0.0|0.0|
||2018|0.0|0.0|0.0|0.0|
||2019|0.0|0.0|0.0|0.0|
||2020|0.0|0.0|0.0|0.0|
||2021|0.0|0.0|0.0|0.0|
|Giresun-28|2004|43.0|1.0|66.0|61.0|
||2005|43.0|1.0|67.0|63.0|
||2006|39.0|1.0|75.0|65.0|
||2007|37.0|0.0|6.0|155.0|
||2008|37.0|1.0|12.0|141.0|
||2009|36.0|1.0|12.0|117.0|
||2010|35.0|1.0|12.0|110.0|
||2011|35.0|1.0|15.0|107.0|
||2012|35.0|0.0|14.8|116.4|
||2013|36.0|0.0|14.8|118.4|
||2014|35.4|0.0|14.0|118.9|
||2015|35.4|0.0|14.0|122.0|
||2016|35.4|0.0|11.0|118.0|
||2017|35.4|0.0|11.0|111.0|
||2018|35.4|0.0|15.0|147.0|
||2019|25.4|0.0|15.0|125.1|
||2020|16.5|0.0|11.0|96.1|
||2021|22.2|0.0|15.0|133.0|
|Gümüşhane-29|2004|0.0|0.0|41.0|1.0|
||2005|0.0|0.0|63.0|1.0|
